ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,mod_type,pct_return
COP,2009-10-06,2009-10-27,36.93745058441162,39.16347960090638,325,722.4594303607957,Zhan Module A (Keltner Breakout),0.06026482557066857
AAPL,2009-09-04,2009-10-28,5.977273222446441,7.057540383577347,1986,2144.4105820059794,Zhan Module B (EMA Breakout),0.1807290918330755
COST,2009-10-06,2009-10-28,57.04851045799255,57.02147423744202,303,-9.191974826809954,Zhan Module B (EMA Breakout),-0.00047391632723585165
CRM,2009-10-06,2009-10-28,14.249621555328368,14.692649809360505,1012,447.34459308052317,Zhan Module B (EMA Breakout),0.031090527724680222
GS,2009-10-21,2009-10-29,185.2925969467163,174.48272232055666,97,-1049.5578387374837,Zhan Module B (EMA Breakout),-0.05833948470843749
MA,2009-10-30,2009-11-19,22.57928479385376,22.56571116447449,781,-11.601004545209594,Zhan Module B (EMA Breakout),-0.0006011540889445925
NKE,2009-10-30,2009-11-20,15.845418368339537,15.8270825381279,928,-18.015650436398914,Zhan Module B (EMA Breakout),-0.001157169207237423
CVX,2009-10-30,2009-11-23,78.289125,78.70062786483766,156,63.19444691467464,Zhan Module A (Keltner Breakout),0.005256194456607581
BAC,2009-11-23,2009-11-30,16.28814068698883,15.842075381278992,1114,-497.9167505607584,Zhan Module B (EMA Breakout),-0.027385894699826573
MCD,2009-09-25,2009-12-03,56.508239542007445,62.59868606758118,315,1917.4906555557257,Zhan Module B (EMA Breakout),0.10777979591889743
COP,2009-11-19,2009-12-04,40.57551825141906,38.599648040771484,449,-888.1657245807626,Zhan Module B (EMA Breakout),-0.0486961176541097
PFE,2009-10-28,2009-12-08,16.336437910079955,17.116673892974855,902,702.7728565712006,Zhan Module B (EMA Breakout),0.047760471847628265
LLY,2009-10-28,2009-12-09,34.17707984733581,36.481750000000005,517,1190.5144689273882,Zhan Module B (EMA Breakout),0.06743320854089437
XOM,2009-12-03,2009-12-09,75.61779183197021,72.96350000000001,201,-534.5126582260099,Zhan Module B (EMA Breakout),-0.03510141948958629
NVDA,2009-12-03,2009-12-14,0.34717350286245346,0.39155413286387925,52676,2336.7940659551045,Zhan Module B (EMA Breakout),0.12783415103833234
WMT,2009-12-14,2009-12-17,18.2024293384552,17.691150762557985,832,-426.383775146483,Zhan Module B (EMA Breakout),-0.0280884801907769
